,HumanRecognition,HITId,AssignmentId,WorkerId,ca,no,tr,fr
0,Airplane,3GKAWYFRBSS68USHNTDB4B8914ADPW,3WMINLGALF2S3IEUOG55JUXIGR5CAH,AF2RVFRGP7GXX,airplane,1,rxplus,1
1,Airplane,3J94SKDELLO2FKAY3E4X653SAB0D5F,37FMASSAYGQOZV5MM41NP8FJESBBI9,A1R8I1H63TWK79,airplane,1,rxplus,19
2,Airplane,3UL5XDRDOFIQYPE7M6THKDPRZKE58C,3EWIJTFFVS6BZ30QS5E7KCL8VXUE08,AJ7JFYKBG85ZV,airplane,1,rxplus,37
3,Airplane,302OLP89E26PGYG1YE03UA1WHP4CAZ,34X6J5FLPXX7YCRHN4JDWYPIDBEQJX,A1F6MWP9A0XLJQ,airplane,1,rxplus,55
4,Airplane,38LRF35D6OVLI7YGBQ6T189WIFJU3V,3DY46V3X3THAYRTYEARGXDBMZGG551,A3E7ZJB271LWC4,airplane,1,rzplus,1
5,Airplane,3D06DR5238I2PKSSB3UHX668B3DMAW,369J354OFH94XSIW0PKCTGGBLLO6GL,A20SXG1DHDIDI7,airplane,1,rzplus,19
6,Airplane,3OND0WXMIZEJNJ8T0BGQ1KO3FWDHEE,3IOEN3P9SBI7TDSTI6Z9MTC5JXV61D,AQ0YWEW29GSIJ,airplane,1,rzplus,37
7,Airplane,3WPCIUYH2D740MLO4AMV9L96QEBTDB,37Q970SNZI7CGBQQPJ2CNY8X1N11S5,A39FOF5RQ9CQAF,airplane,1,rzplus,55
8,Airplane,3O0M2G5VD918GBTHDTGLFHEOJNZ49F,3DH6GAKTY2O67TN7W03TXEGAS0WZYF,AF2RVFRGP7GXX,airplane,2,rxplus,1
9,Airplane,3NSCTNUR32M4HD7MJ4DVG4VMP83A5A,3WMOAN2SRFWVMAEJO15FVS573JKVNE,A23UXKTVERRXNK,airplane,2,rxplus,19
10,Airplane,3SMIWMMK744I9504LAHV65KTG89WUZ,33UKMF931DJE4VFEG2RC39NEVJKTTX,A3GJ43NLKYZ7O,airplane,2,rxplus,37
