,HumanRecognition,HITId,AssignmentId,WorkerId,ca,no,tr,fr
0,Airplane,3R15W654WGSA6IHO0NQONT6OC0JLQB,3MMN5BL1W335SJR0SQK9ZIONFL4M3P,A34DYM8J0X5VK,airplane,1,rxplus,1
1,Airplane,3OPLMF3EV8MP3L4WKVY7JZBJ7QYNLU,37WLF8U1WTP9ZEEFQG5RR8830BF6KM,A19MM9MW8HPLTH,airplane,1,rxplus,19
2,Airplane,3ULIZ0H1WD48NPUMNLK2532JI2V15K,3QY7M81QHBLS3ESK9QAJXM8ZVWEK7Y,A2HM35CWB7IIFM,airplane,1,rxplus,37
3,Airplane,306996CF7ZJAC5BVOVBF8P2BS0E1BM,3AUQQEL7U9SS1EMCNV3HKG9T4OT0VV,A3BEGZR3FC5XQA,airplane,1,rxplus,55
4,Airplane,38RHULDVA1ED0E54RTSHN2WIJXJWIP,3BXQMRHWK3XPRD4J7AGAMRENSZCUMV,ABX5OQLR6UNBC,airplane,1,rzplus,1
5,Airplane,3AXFSPQOZTX7K33FJM3HVFPI19SFJW,3SB5N7Y3O739JHWHY04VKF6JGP8G0K,A376DD71XY793G,airplane,1,rzplus,19
6,Airplane,3IZPORCT2I88WNDYMH0Q0RNMR96HR3,3G2UL9A02HDL4Z7V7MGIN33HV4W67O,A31TGM13CAYTBG,airplane,1,rzplus,37
7,Airplane,37PGLWGSKW5M5EBN2F9EZR2NWWGIKX,3HHRAGRYXC4F7O1SMF0WIZGEB1NO9U,AHYTT3T8W9Y9Y,airplane,1,rzplus,55
8,Airplane,31N9JPQXJSHNHPL6TAJ9R7ICQAHHNB,3DI28L7YXEDB6SL8OOI7YH4H8851EB,A2FAJQUVSEXZRN,airplane,2,rxplus,1
9,Airplane,39KV3A5D2B6N4D7ZOXEJZO3OZ51S72,3P4RDNWND95UHE3YAWE4NWYVUDCJIW,A19MM9MW8HPLTH,airplane,2,rxplus,19
10,Airplane,3JGHED38FGQK0ZJ8N368HARPGTYY7T,3WS1NTTKE2B35H0MNGYD2U67FMQF0Q,A2HM35CWB7IIFM,airplane,2,rxplus,37
11,Airplane,32XN26MTY2IMIPCPJPW98NF6Z2M0L5,3I2PTA7R3XT29WXZ5PJPXDPU1UJQKW,A3BEGZR3FC5XQA,airplane,2,rxplus,55
12,Airplane,3OCZWXS70R6LDWYQGV2LPIBXG7X5LP,34V1S5K3GW0PIIVOMJE21ZUNPOB96H,A398CG5XGBNGGE,airplane,2,rzplus,1
13,Airplane,37NXA7GVTW52BQD5MMKYTG5WTSKVL1,38JBBYETQS9SYRIRB619WFBKKL74E5,A376DD71XY793G,airplane,2,rzplus,19
14,Airplane,366FYU4PUJOAP9916WJNEC4V41KKEX,3Z7EFSHGNDD4ZVMNZQXJ328FTJKXC0,A31TGM13CAYTBG,airplane,2,rzplus,37
