,HumanRecognition,HITId,AssignmentId,WorkerId,hashed,ca,no,tr,fr,ratio,path
0,Airplane,388FBO7J0US93KBV3ANXD7DFK1RNY7,3Z2R0DQ0JLDIVD347SIL30ENWPUE20,AWMQJBTBQB8AX,-2328161753609968111,airplane,2,rxminus,1,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_001/050.png
1,Airplane,3THR0FZ96SS7L648LAYKYOBO1WSLOS,39N5ACM9HIMXSODT1FDB7ZL5G20P9I,A3DLDEPUIIAN9P,8520360101381400375,airplane,2,rxminus,7,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_007/050.png
2,Helicopter,3OEWW2KGRMAONUGG8T0WFB3JSNOODD,3LWJHTCVCGLRTA5L4ESSH0XQOWZQFK,A24F42H3K58D8A,3482817572827882204,airplane,2,rxminus,13,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_013/050.png
3,Airplane,3I01FDIL7P7AGNRBLV2Z8Y0GRIU2DN,31JLPPHS2YTTSMCC56ZMRMDT65T3OX,AWMQJBTBQB8AX,-973369513578474936,airplane,2,rxminus,19,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_019/050.png
4,Airplane,3S8A4GJRE62KS5AYZIEW4XNZ7U06V7,3WAKVUDHU0F66AXW34EL39HYTT5U78,A3DLDEPUIIAN9P,-5630961463178733975,airplane,2,rxminus,31,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_031/050.png
5,Airplane,3AA88CN99S28VEQS6XVHLFWBQ6MKYZ,3ON104KXQOVMFR4IW6VFILILN7T4W0,A3DLDEPUIIAN9P,4889614093786576221,airplane,2,rxminus,37,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_037/050.png
6,Helicopter,3B286OTITHGCOCM786HPHEER8QIAJF,3VFJCI1K43YXJBGGSDNA4B77LX0GR9,A24F42H3K58D8A,5618433982103750744,airplane,2,rxminus,49,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_049/050.png
7,Helicopter,3MNJFORX9E3ZD4OUUKZNU56DN50F5B,3IHR8NYAMB0WVI7HKKHKQRAPUAC4PR,A24F42H3K58D8A,2022719974017729011,airplane,2,rxminus,55,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_055/050.png
8,Helicopter,3D42WVSDIBUXFSYE5M4K5246IA6FYT,3DI28L7YXEDB6SL8OOI7YH4I4LUE11,A1S88VQY8G8CNC,-3399661725413503228,airplane,2,rxminus,61,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_061/050.png
9,Airplane,34YWR3PJ3B9HIJTEX8ZXJHATA2LX0Z,34Q075JO11CCF26EGHJSDS2EAI010E,A3DLDEPUIIAN9P,-339930628672415796,airplane,2,rxminus,73,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_073/050.png
10,Airplane,3M47JKRKD00MHTELRP3MCJ3RWW0865,37UQDCYH61U6JPMW8UOQZVJH70IV72,A3DLDEPUIIAN9P,2444083467643242656,airplane,2,rxminus,79,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_079/050.png
11,Helicopter,30U1YOGZHDV3LM89FAH5ZGDKPCSDS0,3VZLGYJEYP9H7OXXR4HRE091X4TZXR,A24F42H3K58D8A,676403818369485922,airplane,2,rxminus,85,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_085/050.png
12,Airplane,3PKVGQTFJKJUII3NWH4EMRIPLYERYX,3YWRV122CWYA6O2FD96RH9DT4CX8UT,AWMQJBTBQB8AX,6395328035178033918,airplane,2,rxminus,97,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_097/050.png
13,Truck,3Y3CZJSZANSWGUT3LFZHBUKWQTD5RY,35USIKEBNVFA7KZINTX7J0P8QOO6NT,AK2BB7OB8HYIP,8772054689815030838,airplane,2,rxminus,103,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_103/050.png
14,Airplane,3MDWE879VK1S1AEQS8Q8NVKUU3QB9F,3LS2AMNW5JPLZNIE3HBI4U64GWWQOA,AWMQJBTBQB8AX,4988723970119286500,airplane,2,rxminus,115,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_115/050.png
15,Helicopter,3TKXBROM6W9RUU55KU92YC2ALYNIJR,3IUZPWIU1S67TTTLHYIVP27HKT4KWR,A24F42H3K58D8A,-1638855342085178792,airplane,2,rxminus,121,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_121/050.png
16,Helicopter,3TTPFEFXDWJFA4FEUTXSPWWQZFPH6S,3BGYGHDBB1JQ0XROE8NK1Z5YZM122J,A24F42H3K58D8A,7569892668359047996,airplane,2,rxminus,127,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_127/050.png
17,Helicopter,3D42WVSDIBUXFSYE5M4K5246IA3YF9,3DI28L7YXEDB6SL8OOI7YH4I4JPE1S,A24F42H3K58D8A,-2918787156822023878,airplane,2,rxminus,133,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_133/050.png
18,Airplane,37M4O367WMH5JEGBG730PVQMK6D5M9,3EJPLAJKEQF4O9D1QH81ENWH00YZ61,AWMQJBTBQB8AX,-4443971856418656709,airplane,2,rxplus,1,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_001/050.png
19,Airplane,36U4VBVNRRCD19JIMG7PJ6CCPA3RUZ,3BC8WZX3V7VO81PU8OHM3FLEN5GRRJ,AWMQJBTBQB8AX,4706908610095396470,airplane,2,rxplus,7,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_007/050.png
20,Helicopter,3S829FDFU50BH3U89KNSYOUC4RVDX9,3300DTYQT6GZNW5P938MZICQCV2EQ8,A24F42H3K58D8A,183968486236824201,airplane,2,rxplus,13,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_013/050.png
21,Airplane,3MXX6RQ9FY4T8Y9OUICI17E3PFU4P0,3W2LOLRXLFE2LXCZI48P23Z0SGXKR0,AK2BB7OB8HYIP,-8950495192395849581,airplane,2,rxplus,25,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_025/050.png
22,Airplane,33N1S8XHIPK6U3EBU9RIU79ENUQZ12,3DI28L7YXEDB6SL8OOI7YH4I4K0E15,A1KTV1DO4K443L,-991664669036569744,airplane,2,rxplus,31,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_031/050.png
23,Airplane,3T5ZXGO9EHNUB7YSFOHXV8HMV6GZQV,3DUZQ9U6SQNS2N6OWXM1UMFDUDMVSE,AWMQJBTBQB8AX,-8011336260221677730,airplane,2,rxplus,37,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_037/050.png
24,Helicopter,3Q7TKIAPPW9GH9DJV1K4NUZPXIKLDU,36WLNQG7839CJQ30QLBW4THRQVQBEI,A24F42H3K58D8A,3030229654453049898,airplane,2,rxplus,49,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_049/050.png
25,Airplane,3EKTG13I0X2JL3JW8UJ76KMJ6WBLMB,30LSNF239YUUBI5Q3B8COFCFOHK2IE,AWMQJBTBQB8AX,-802090688115534939,airplane,2,rxplus,55,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_055/050.png
26,Airplane,37OPIVELVX2GX6RHK6E451YCVYGAHC,3RJSC4XJ14TB3K7XH4L4GIFVM0305X,AK2BB7OB8HYIP,7373334870356863721,airplane,2,rxplus,67,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_067/050.png
27,Airplane,3T5ZXGO9EHNUB7YSFOHXV8HMV6IQZO,3WI0P0II65RU7R6PQNM2YQ4A854DRG,A3DLDEPUIIAN9P,8638597503764801565,airplane,2,rxplus,73,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_073/050.png
28,None of the Above,3RWSQDNYMCLRF1HJ0WCWGHXQCZEFFU,3YZ8UPK3VXLCIRSSULMWJV9CU4YUC3,A3S48MJA5J93LZ,-6117372327924084943,airplane,2,rxplus,85,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_085/050.png
29,Airplane,3TFJJUELTKO0BVLXLZ7OOSIY6IGC2V,34HJIJKLP9V9024D6WQJWJZ7GYA4V9,A3DLDEPUIIAN9P,2340339189569290898,airplane,2,rxplus,91,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_091/050.png
30,Helicopter,3P6ENY9P8CVV3OAFWU6HMZMV86JHIL,3WJEQKOXAC18GF4W8JGL2YERJ46A18,A24F42H3K58D8A,-854047951580206430,airplane,2,rxplus,103,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_103/050.png
31,Helicopter,36KM3FWE4UBN34NNFVVZPIX589570D,3NJM2BJS405ZQMKWDZN29PMDML5CPK,A2IQ0QCTQ3KWLT,-5570944061245433010,airplane,2,rxplus,109,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_109/050.png
32,Airplane,3UDTAB6HI9YRHNBGUSTJ3EOB3ZU90S,3HPZF4IVNQSTZ0CX4MJLMGFPQSTCY3,A3DLDEPUIIAN9P,-2749116770184993225,airplane,2,rxplus,115,50,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_115/050.png
