,HumanRecognition,HITId,AssignmentId,WorkerId,hashed,ca,no,tr,fr,ratio,path
0,Airplane,3JMNNNO3C439PTR22Q7P0MP1Y1Z2W1,3WRFBPLXRENBA1C04RZ9CXDOG81N35,AYVJ1AI4VLWU9,8037339232283420418,airplane,2,rxminus,1,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_001/100.png
1,Airplane,3NOEP8XAV71K60XYETENYIB1IDWXPB,39L1G8WVWUQ8WU5BZ41BFQ0LD7613L,AYVJ1AI4VLWU9,-3148756385375448474,airplane,2,rxminus,7,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_007/100.png
2,Airplane,3TL87MO8DPODFTRFM7FUBU2A9YXFL2,3CN4LGXD51NQ4WZIB7D33I31YP9Y4T,ANONYKAVCEV2H,-891107645572295760,airplane,2,rxminus,13,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_013/100.png
3,Airplane,3IHWR4LC8GC2AD9MTQCB9MTW5QT8I3,3PMBY0YE2B2EYZ4PWAR5NZMYHW49CX,AYVJ1AI4VLWU9,7692600358722473921,airplane,2,rxminus,19,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_019/100.png
4,Airplane,31KPKEKW5DCA5GQDSC7FUKJ1R2W0BY,3TVSS0C0E5Z6WCJ8B7WNQTUD3HBTW8,A2UETT92P31OCW,8153092359569656005,airplane,2,rxminus,31,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_031/100.png
5,Airplane,3QGHA0EA1MZ3D6RYLJ001FS5S7CBWC,3U84XHCDIGCQ9M9N7TFMHPC34MR4ZA,AYVJ1AI4VLWU9,-4739358672202851772,airplane,2,rxminus,37,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_037/100.png
6,Airplane,3JVP4ZJHESRKSO4JYMZWG7NEMSF0I6,3LYA37P8IUMF5QVAM7MZ2OUWA11KB8,ANONYKAVCEV2H,5140188023320262421,airplane,2,rxminus,49,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_049/100.png
7,Airplane,362E9TQF3KPH3SF4COOZ1ZAUT95IGS,3EKVH9QME23D37P4BX71XIW2WQ92D1,AYVJ1AI4VLWU9,-323802153374885144,airplane,2,rxminus,55,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_055/100.png
8,Airplane,3RWB1RTQEMMURZWQ6L2VIJU8R4LP8T,3TXD01ZLD8G9NNFD16GE0XXO2174UA,ANONYKAVCEV2H,-6873244148308137914,airplane,2,rxminus,61,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_061/100.png
9,Airplane,3WUVMVA7PE22ORRBQSKB582HRRTZAT,3BQU611VFTJC01XMKQHEL9LQBAQ993,AYVJ1AI4VLWU9,6594977823334228668,airplane,2,rxminus,73,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_073/100.png
10,Airplane,3JYPJ2TAZL736E6DEZ81SBBUE80PFC,3UOUJI6MTHD0LP3NLHIJX8UMVZXXU9,AYVJ1AI4VLWU9,-8815229219405191507,airplane,2,rxminus,79,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_079/100.png
11,Airplane,3P0I4CQYW16NW0G7PO5M7ZS4Z6VOWT,3M23Y66PO667NXRNVPETIUZEDYW6SR,AYVJ1AI4VLWU9,6942460266380009052,airplane,2,rxminus,85,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_085/100.png
12,Airplane,3EKTG13I0X2JL3JW8UJ76KMJ6ZBMLI,3TVRFO09GOEX2ZGTC3QI6LY3I7YLXV,AYVJ1AI4VLWU9,4746592489731005296,airplane,2,rxminus,97,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_097/100.png
13,Airplane,386T3MLZMQUR3IS6P0N53IT0JWA08Y,36PW28KO43V70GY8K7B09IXL8NBEAG,ANONYKAVCEV2H,-5939681710751041203,airplane,2,rxminus,103,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_103/100.png
14,Airplane,3D0LPO3EBEYRL5B74PNASWDKAEVOYS,3G0WWMR1UZJ3H2I222B5P56ZQ0UNQN,AYVJ1AI4VLWU9,-807164101561874100,airplane,2,rxminus,115,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_115/100.png
15,Airplane,3SD15I2WE5T0GW8FF88QL2VGGD536B,32UTUBMZ7KVTL1PMLB064X5DQ2AVBD,AYVJ1AI4VLWU9,-6486700897347219571,airplane,2,rxminus,121,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_121/100.png
16,Airplane,3E9VAUV7CZD2J1H6U6ISR1TFLXPYA1,3WMOAN2SRFWVMAEJO15FVS577QQNVU,ANONYKAVCEV2H,-6667561120043883436,airplane,2,rxminus,127,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_127/100.png
17,Airplane,39TX062QY4NDZBSBGVHGLF80DH4X3Z,3EICBYG648V34BHYIMIICT01D1BJCX,AYVJ1AI4VLWU9,205593643151563998,airplane,2,rxminus,133,100,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_133/100.png
