,HumanRecognition,HITId,AssignmentId,WorkerId,hashed,ca,no,tr,fr,ratio,path
0,None of the Above,37PGLWGSKW5M5EBN2F9EZR2N0NTIKW,3QAVNHZ3EQ3L6M801TY4MDN5G5NLAQ,AX7K5UODLEK72,-645906745280492596,airplane,2,rxminus,1,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_001/025.png
1,Truck,3K8CQCU3LH05EFGVO959SASZ9TWNWD,3WYP994K1BQ4JJ3WUV6I0GNFT1B6YN,A22VGT2F28LTWC,7080959787196000054,airplane,2,rxminus,7,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_007/025.png
2,Airplane,36BTXXLZ3Y7EKBP37AG762EIQXMR4J,3PM8NZGV82F8TWW648YEN7XXRVJQXM,A34RGSBBFQ6HI1,5327430513683361738,airplane,2,rxminus,13,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_013/025.png
3,Airplane,3U18MJKL2XLW0HAQ7I58GGLWHDENC4,3VNXK88KKGHAX8APNRMADRAN1LWV9T,AX7K5UODLEK72,-5271636007771858704,airplane,2,rxminus,19,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_019/025.png
4,Car,3CO05SML8Y4XLN72O9T5UZO59L9R06,39LNWE0K4YV3VUESMVIIUY77757UIM,AX7K5UODLEK72,-4671036758064831459,airplane,2,rxminus,31,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_031/025.png
5,Airplane,3IWA71V4ULFCWUFTZXFESIKKN5FX68,3SBEHTYCWR2KC3YXWWF7XJDK3TAIY0,A3FPKH2F4IACUQ,-703654042534939227,airplane,2,rxminus,37,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_037/025.png
6,Airplane,3LN50BUKQYAP66G90ABZNOGEB1VLPG,34FNN24DCQ880F3IPCWD8A9FY79Y5B,AX7K5UODLEK72,2764530204418133982,airplane,2,rxminus,49,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_049/025.png
7,Airplane,3OQQD2WO9L5G9G3GH9HFI5LLP19I3N,32KTQ2V7RHER7LGG9ZLJQVRABT49MD,AYS8A6E6H121A,-6792615935143911536,airplane,2,rxminus,55,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_055/025.png
8,Airplane,3H4IKZHAMEHFRL7HW8EMWRF8GHUNNO,39LOEL67OW4Q7UPWYPAQU0NTRW4836,AX7K5UODLEK72,2580197867442788862,airplane,2,rxminus,61,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_061/025.png
9,Helicopter,372AGES0J745IDDDRLIC3DBGJSRXR4,3WSELTNVR719PZG5A20V84XMAIWTAO,AX7K5UODLEK72,877414398615610359,airplane,2,rxminus,73,25,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_073/025.png
